EventID	xpos	ypos	zpos	hitE	stepL
10	0	0	0.0162531	0.00362016	0.026023
10	-0.00523837	-0.0048471	0.0230684	0.00329436	0.0211211
10	-0.00732268	-0.00360224	0.0258747	0.00308548	0.0152305
11	0	0	0.0162531	0.00318959	0.026023
11	-0.000872049	-0.00975091	0.0204445	0.00260542	0.0217651
11	0.00399703	-0.00959531	0.0175333	0.00201539	0.017481
11	0.003466	-0.010359	0.0155207	0.00148963	0.0131088
11	0.00357495	-0.00991948	0.0154291	0.000699969	0.00818592
12	0	0	0.0162531	0.00351765	0.026023
12	-0.00551728	-0.0013419	0.0245527	0.00253804	0.0212763
12	-0.00122724	-0.000631259	0.0273568	0.00191115	0.0169867
12	-0.00148923	-0.00256702	0.0270758	0.0014199	0.0126953
12	-0.00159781	-0.00294983	0.0270441	0.000613265	0.00777548
13	0	0	0.0162531	0.00681092	0.026023
13	-0.0025181	-0.00131469	0.0135976	0.00257083	0.0154544
13	-0.00259854	-0.000936374	0.0134847	0.000618247	0.00779983
14	0	0	0.0162531	0.00339261	0.026023
14	-0.00549233	-8.23288e-05	0.0249468	0.00239004	0.021464
14	-0.00520144	-0.00574596	0.0243785	0.00209334	0.017504
14	-0.00402705	-0.00442246	0.0232216	0.00150235	0.012935
14	-0.00439	-0.00446375	0.0230456	0.000621664	0.00781647
15	0	0	0.0162531	0.00382944	0.026023
15	-0.00380202	0.00784841	0.0199738	0.00291411	0.0208004
15	-0.00712978	0.00878125	0.0179514	0.00185113	0.015598
15	-0.00700536	0.00796591	0.0170707	0.00119275	0.0108584
15	-0.00701268	0.00793697	0.0171815	0.00021258	0.00530144
16	0	0	0.0162531	0.00293605	0.026023
16	-0.00183719	-0.00768949	0.0240647	0.00248224	0.022135
16	-0.000937686	-0.0102263	0.0182376	0.002263	0.0181687
16	-0.000589431	-0.010614	0.0158708	0.00154772	0.0134386
16	-0.000384896	-0.0107896	0.0163234	0.000770988	0.00850341
17	0	0	0.0162531	0.00311524	0.026023
17	-0.00205551	0.00925299	0.011114	0.00242325	0.0218742
17	-0.00553402	0.0084189	0.0060727	0.00314307	0.0179525
17	-0.00505391	0.00910536	0.00678892	0.00115871	0.0105733
17	-0.00705029	0.00482965	0.00576869	0.000159733	0.00482785
18	0	0	0.0162531	0.00383515	0.026023
18	0.00812169	-0.0014492	0.011602	0.00420961	0.0207916
18	0.00716513	-0.00054014	0.0102779	0.00141198	0.012488
18	0.00741817	-0.000306681	0.0103063	0.000543256	0.00742225
19	0	0	0.0162531	0.00410764	0.026023
19	-0.0031025	0.00462012	0.0232752	0.00302625	0.0203658
19	-0.00290011	0.00568094	0.0264311	0.00171926	0.0147438
19	-0.00341439	0.00540832	0.0257443	0.00112904	0.00998108
19	-0.0043595	0.00747748	0.0242297	1.78147e-05	0.00273286
20	0	0	0.0162531	0.00274598	0.026023
20	-0.00901991	-0.00425943	0.0219201	0.0029859	0.0224081
20	-0.00969831	-0.0068658	0.0167837	0.00205887	0.0175983
20	-0.0101345	-0.00651285	0.0189608	0.00150142	0.013161
20	-0.0103255	-0.00679226	0.0186358	0.000707839	0.00822188
21	0	0	0.0162531	0.00650913	0.026023
21	-0.000460661	0.00417117	0.0149097	0.00349087	0.0160864
22	0	0	0.0162531	0.00302352	0.026023
22	0.00466552	-0.000119955	0.0261566	0.00255153	0.0220081
22	0.00666845	0.00484559	0.0232148	0.00337092	0.0178861
22	0.00692126	0.00419672	0.0235973	0.0010283	0.0096421
22	0.00405955	0.00488726	0.0233547	2.5735e-05	0.00295382
23	0	0	0.0162531	0.00273438	0.026023
23	0.00816933	-0.0079781	0.0149387	0.00324291	0.0224247
23	0.0119355	-0.0087294	0.0112625	0.00205046	0.017137
23	0.0104212	-0.00782083	0.0105911	0.00140902	0.0125345
23	0.0101275	-0.00802959	0.0105702	0.000563225	0.00752523
24	0	0	0.0162531	0.00294287	0.026023
24	0.00551589	0.00600908	0.0237833	0.0025828	0.0221251
24	0.00834327	0.00189389	0.0200962	0.00206027	0.0179757
24	0.00702467	0.00132369	0.017955	0.00161783	0.0136765
